D20251031 09:31:22 1104823 nan_logger __init__.py:132] PyTorch distributed environment: manual job using 127.0.0.1:41997 (rank=0, world size=1)
D20251031 09:33:27 1105316 nan_logger __init__.py:132] PyTorch distributed environment: manual job using 127.0.0.1:41433 (rank=0, world size=1)
D20251031 10:18:10 1126426 nan_logger __init__.py:132] PyTorch distributed environment: TorchElastic job (2221090) using dvgpu010.cm.cluster:37477 (rank=0, world size=1)
D20251031 10:20:42 2277912 nan_logger __init__.py:132] PyTorch distributed environment: TorchElastic job (2221091) using dvgpu009.cm.cluster:41581 (rank=0, world size=4)
D20251031 10:27:21 1134301 nan_logger __init__.py:132] PyTorch distributed environment: manual job using 127.0.0.1:50863 (rank=0, world size=1)
D20251031 10:29:28 1134808 nan_logger __init__.py:132] PyTorch distributed environment: manual job using 127.0.0.1:52071 (rank=0, world size=1)
D20251031 10:30:15 1135144 nan_logger __init__.py:132] PyTorch distributed environment: manual job using 127.0.0.1:40771 (rank=0, world size=1)
D20251031 10:31:53 1140197 nan_logger __init__.py:132] PyTorch distributed environment: manual job using 127.0.0.1:56719 (rank=0, world size=1)
D20251031 10:36:41 1143852 nan_logger __init__.py:132] PyTorch distributed environment: manual job using 127.0.0.1:51473 (rank=0, world size=1)
D20251031 10:39:17 1145175 nan_logger __init__.py:132] PyTorch distributed environment: manual job using 127.0.0.1:54075 (rank=0, world size=1)
D20251031 10:41:29 1147317 nan_logger __init__.py:132] PyTorch distributed environment: manual job using 127.0.0.1:45071 (rank=0, world size=1)
